"","Gene.name.d","Entrez.gene.id.e","Chromosome.f","Start.f","End.f","Cytoband.f"
"155","CLSTN1",22883,"1",9789078,9884584,"1p36.22"
"156","CTNNBIP1",56998,"1",9908333,9970316,"1p36.22"
"157","LZIC",84328,"1",9989775,10002826,"1p36.22"
"158","NMNAT1",64802,"1",10002980,10045556,"1p36.22"
"159","RBP7",116362,"1",10057254,10076078,"1p36.22"
"160","UBE4B",10277,"1",10093040,10241296,"1p36.3"
"161","KIF1B",23095,"1",10270763,10441661,"1p36.2"
"162","PGD",5226,"1",10459048,10480568,"1p36.22"
"163","APITD1",378708,"1",10490158,10502872,"1p36.22"
"164","APITD1-CORT",100526739,"1",10490158,10512060,"1p"
"165","CORT",1325,"1",10509775,10512060,"1p36.22"
"166","DFFA",1676,"1",10520602,10532613,"1p36.3-p36.2"
"167","PEX14",5195,"1",10535002,10690815,"1p36.22"
"168","CASZ1",54897,"1",10696665,10856733,"1p36.22"
"169","C1orf127",148345,"1",11006529,11042094,"1p36.22"
"170","TARDBP",23435,"1",11072678,11085549,"1p36.22"
"171","MASP2",10747,"1",11086579,11107296,"1p36.3-p36.2"
"172","SRM",6723,"1",11114648,11120091,"1p36-p22"
"173","EXOSC10",5394,"1",11126669,11159967,"1p36.22"
"174","MTOR",2475,"1",11166587,11322608,"1p36.2"
"175","MTOR-AS1",100873935,"1",11203954,11209595,"-"
"176","ANGPTL7",10218,"1",11249345,11256038,"1p36"
"177","UBIAD1",29914,"1",11333254,11348491,"1p36.22"
"178","PTCHD2",57540,"1",11539294,11597640,"1p36.22"
"179","LOC101929181",101929181,"1",11669587,11673411,"-"
"180","FBXO2",26232,"1",11708417,11714888,"1p36.22"
"181","FBXO44",93611,"1",11714431,11723384,"1p36.22"
"182","FBXO6",26270,"1",11724149,11734409,"1p36.22"
"183","MAD2L2",10459,"1",11734536,11751678,"1p36"
"184","DRAXIN",374946,"1",11751780,11780336,"1p36.22"
"185","AGTRAP",57085,"1",11796141,11810828,"1p36.22"
"186","C1orf167",284498,"1",11822249,11849642,"1p36.22"
"187","LOC102724659",102724659,"1",11837133,11839676,"1p36.22"
"188","MTHFR",4524,"1",11845786,11866160,"1p36.3"
"189","CLCN6",1185,"1",11866152,11903201,"1p36"
"190","NPPA-AS1",100379251,"1",11900375,11907673,"1p36.21"
"191","NPPA",4878,"1",11905766,11907840,"1p36.21"
"192","NPPB",4879,"1",11917520,11918992,"1p36.2"
"193","KIAA2013",90231,"1",11979644,11986485,"1p36.22"
"194","PLOD1",5351,"1",11994723,12035599,"1p36.22"
"195","MFN2",9927,"1",12040237,12073572,"1p36.22"
"196","MIIP",60672,"1",12079298,12092106,"1p36.22"
"197","TNFRSF8",943,"1",12123433,12204264,"1p36"
"198","TNFRSF1B",7133,"1",12227059,12269277,"1p36.22"
"199","VPS13D",55187,"1",12290095,12572098,"1p36.22"
"200","SNORA59A",677885,"1",12567299,12567451,"1p36.21"
"201","DHRS3",9249,"1",12627938,12677737,"1p36.1"
"202","AADACL4",343066,"1",12704565,12727097,"1p36.21"
"203","AADACL3",126767,"1",12776117,12788726,"1p36.21"
"204","C1orf158",93190,"1",12806133,12821102,"1p36.21"
"205","PRAMEF12",390999,"1",12834990,12838048,"1p36.21"
"206","PRAMEF1",65121,"1",12851545,12856777,"1p36.21"
"207","PRAMEF11",440560,"1",12884617,12891264,"1p36.21"
"208","LOC101060301",101060301,"1",12907229,12908157,"-"
"209","HNRNPCL3",649330,"1",12907229,12908235,"-"
"210","HNRNPCL1",343069,"1",12907229,12908609,"1p36.21"
"211","PRAMEF2",65122,"1",12916940,12921764,"1p36.21"
"212","PRAMEF4",400735,"1",12939032,12946025,"1p36.21"
"213","PRAMEF7",441871,"1",12976466,12980300,"1p36.21"
"214","PRAMEF6",440561,"1",12998301,13007406,"1p36.21"
"215","PRAMEF9",343070,"1",12998504,13002353,"1p36.21"
"216","PRAMEF18",391003,"1",13035498,13039011,"1p36.21"
"217","PRAMEF25",441873,"1",13052239,13112702,"1p36.21"
"218","LOC645359",645359,"1",13052393,13112702,"1p36.21"
"219","HNRNPCL2",440563,"1",13182959,13184326,"1p36.21"
"220","PRAMEF5",343068,"1",13359818,13369057,"1p36.21"
"221","PRAMEF16",654348,"1",13495253,13498259,"1p36.21"
"222","PRAMEF15",653619,"1",13641972,13648987,"1p36.21"
"223","PRAMEF14",729528,"1",13668268,13673511,"1p36.21"
"224","PRAMEF19",645414,"1",13694888,13698405,"1p36.21"
"225","PRAMEF17",391004,"1",13716091,13719089,"1p36.21"
"226","PRAMEF20",645425,"1",13736906,13747803,"1p36.21"
"227","LRRC38",126755,"1",13801444,13840242,"1p36.21"
"228","PDPN",10630,"1",13910251,13944452,"1p36.21"
"229","PRDM2",7799,"1",14026734,14151574,"1p36.21"
"230","KAZN",23254,"1",14925212,15444544,"1p36.21"
"231","TMEM51-AS1",200197,"1",15438310,15478960,"1p36.21"
"232","TMEM51",55092,"1",15479027,15546974,"1p36.21"
"233","C1orf195",727684,"1",15490691,15498120,"1p36.21"
"234","FHAD1",114827,"1",15573767,15724622,"1p36.21"
"235","EFHD2",79180,"1",15736390,15756839,"1p36.21"
"236","CTRC",11330,"1",15764937,15773153,"1p36.21"
"237","CELA2A",63036,"1",15783222,15798586,"1p36.21"
"238","CELA2B",51032,"1",15802595,15817895,"1p36.21"
"239","CASP9",842,"1",15817895,15851285,"1p36.21"
"240","DNAJC16",23341,"1",15853307,15898228,"1p36.1"
"241","AGMAT",79814,"1",15898193,15911605,"1p36.21"
"242","DDI2",84301,"1",15943952,15987552,"1p36.21"
"243","RSC1A1",6248,"1",15986363,15988217,"1p36.1"
"244","PLEKHM2",23207,"1",16010826,16061264,"1p36.21"
"245","SLC25A34",284723,"1",16062808,16067887,"1p36.21"
"246","TMEM82",388595,"1",16068986,16074292,"1p36.21"
"247","FBLIM1",54751,"1",16085254,16113084,"1p36.21"
"248","UQCRHL",440567,"1",16133656,16134194,"1p36.21"
"249","FLJ37453",729614,"1",16160709,16174642,"1p36.21"
"250","SPEN",23013,"1",16174358,16266950,"1p36"
"251","ZBTB17",7709,"1",16268363,16302627,"1p36.13"
"252","C1orf64",149563,"1",16330730,16333190,"1p36.13"
"253","HSPB7",27129,"1",16340522,16345285,"1p36.23-p34.3"
"254","CLCNKA",1187,"1",16348485,16360545,"1p36"
"255","CLCNKB",1188,"1",16370230,16383821,"1p36"
"256","FAM131C",348487,"1",16384263,16400127,"1p36.13"
"257","EPHA2",1969,"1",16450831,16482582,"1p36"
"258","ARHGEF19",128272,"1",16524598,16539104,"1p36.13"
"259","RSG1",79363,"1",16558181,16563659,"1p36.13"
"260","FBXO42",54455,"1",16573334,16678986,"1p36.23-p36.11"
"261","SZRD1",26099,"1",16693524,16724643,"1p36.13"
"262","SPATA21",374955,"1",16725137,16763919,"1p36.13"
"263","NECAP2",55707,"1",16767166,16786584,"1p36.13"
"264","CROCCP3",114819,"1",16793930,16819196,"1p36.13"
"265","LOC100133301",100133301,"1",16865218,16866530,"1p36.13"
"266","NBPF1",55672,"1",16888921,16940100,"1p36.13"
"267","CROCCP2",84809,"1",16944750,16957401,"1p36.13"
"268","MST1P2",11209,"1",16972068,16976915,"1p36.2"
"269","ESPNP",284729,"1",17017712,17046652,"1p36.13"
"270","MST1L",11223,"1",17081128,17090975,"1p36.13"
"271","CROCC",9696,"1",17248444,17299474,"1p36.13"
"272","MFAP2",4237,"1",17300998,17308081,"1p36.1-p35"
"273","ATP13A2",23400,"1",17312452,17338467,"1p36"
"274","SDHB",6390,"1",17345224,17380665,"1p36.1-p35"
"275","PADI2",11240,"1",17393255,17445948,"1p36.13"
"276","PADI1",29943,"1",17531620,17572501,"1p36.13"
"277","PADI3",51702,"1",17575592,17610727,"1p36.13"
"278","PADI4",23569,"1",17634689,17690495,"1p36.13"
"279","PADI6",353238,"1",17698690,17728195,"1p36.13"
"280","RCC2",55920,"1",17733250,17766250,"1p36.13"
"281","ARHGEF10L",55160,"1",17866329,18024370,"1p36.13"
"282","ACTL8",81569,"1",18081807,18153558,"1p36.2-p35"
"283","LOC101927876",101927876,"1",18392150,18400905,"1p36.13"
"284","IGSF21",84966,"1",18434239,18704977,"1p36.13"
"285","KLHDC7A",127707,"1",18807423,18812480,"1p36.13"
"286","PAX7",5081,"1",18957499,19075360,"1p36.13"
"287","TAS1R2",80834,"1",19166092,19186155,"1p36.13"
"288","ALDH4A1",8659,"1",19197923,19229293,"1p36"
"289","IFFO2",126917,"1",19230773,19282826,"1p36.13"
"290","UBR4",23352,"1",19400999,19536746,"1p36.13"
"291","EMC1",23065,"1",19542157,19578053,"1p36.13"
"292","MRTO4",51154,"1",19578074,19586622,"1p36.13"
"293","AKR7L",246181,"1",19592475,19600568,"1p36.13|1p35-p36.1"
"294","AKR7A3",22977,"1",19609056,19615280,"1p36.13"
"295","LOC100506730",100506730,"1",19619740,19622230,"1p36"
"296","AKR7A2",8574,"1",19629201,19638640,"1p36.13"
"297","PQLC2",54896,"1",19638739,19658922,"1p36.13"
"298","CAPZB",832,"1",19665266,19812135,"1p36.1"
"299","MINOS1",440574,"1",19923470,19956315,"1p36.13"
"300","MINOS1-NBL1",100532736,"1",19923470,19984949,"1p36.13"
"301","RPS14P3",644068,"1",19934300,19935138,"1p36.13"
"302","NBL1",4681,"1",19969722,19984949,"1p36.13"
"303","HTR6",3362,"1",19991779,20007459,"1p36-p35"
"304","TMCO4",255104,"1",20008705,20126410,"1p36.13"
"305","RNF186",54546,"1",20140521,20141771,"1p36.13"
"306","OTUD3",23252,"1",20208887,20239437,"1p36.13"
"307","PLA2G2E",30814,"1",20246799,20250110,"1p36.13"
"308","PLA2G2A",5320,"1",20301923,20306932,"1p35"
"309","PLA2G5",5322,"1",20396700,20418394,"1p36-p34"
"310","PLA2G2D",26279,"1",20439142,20446059,"1p36.12"
"311","PLA2G2F",64600,"1",20465822,20476879,"1p35"
"312","PLA2G2C",391013,"1",20490483,20501687,"1p36.12"
"313","UBXN10-AS1",101928017,"1",20510735,20512979,"1p36.12"
"314","UBXN10",127733,"1",20512570,20522541,"1p36.12"
"315","VWA5B1",127731,"1",20617411,20681387,"1p36.12"
"316","LINC01141",339505,"1",20686293,20755287,"1p36.12"
"317","CAMK2N1",55450,"1",20808883,20812728,"1p36.12"
"318","MUL1",79594,"1",20825940,20834674,"1p36.12"
"319","FAM43B",163933,"1",20878931,20881513,"1p36.12"
"320","CDA",978,"1",20915443,20945400,"1p36.2-p35"
"321","PINK1",65018,"1",20959947,20978004,"1p36"
"322","MIR6084",102464833,"1",20960171,20960281,"-"
"323","PINK1-AS",100861548,"1",20969149,20978686,"1p36.12"
"324","DDOST",1650,"1",20978259,20988037,"1p36.1"
"325","KIF17",57576,"1",20990506,21044510,"1p36.12"
"326","SH2D5",400745,"1",21046224,21059133,"1p36.12"
"327","HP1BP3",50809,"1",21069170,21113181,"1p36.12"
"328","EIF4G3",8672,"1",21132784,21503381,"1p36.12"
"329","ECE1",1889,"1",21543739,21672034,"1p36.1"
"330","LOC100506801",100506801,"1",21619782,21626362,"1p36.1"
"331","NBPF3",84224,"1",21766582,21811393,"1p36.12"
"332","ALPL",249,"1",21835857,21904905,"1p36.12"
"333","RAP1GAP",5909,"1",21922707,21995856,"1p36.1-p35"
"334","USP48",84196,"1",22004791,22109688,"1p36.12"
"335","LDLRAD2",401944,"1",22138757,22151714,"1p36.12"
"336","HSPG2",3339,"1",22148724,22263790,"1p36.1-p34"
"337","CELA3B",23436,"1",22303417,22315847,"1p36.12"
"338","CELA3A",10136,"1",22328148,22339035,"1p36.12"
"339","LOC101928043",101928043,"1",22350486,22352541,"-"
"340","LINC00339",29092,"1",22351683,22357717,"1p36.12"
"341","CDC42",998,"1",22379119,22419436,"1p36.1"
"342","WNT4",54361,"1",22443797,22469519,"1p36.23-p35.1"
"343","ZBTB40",9923,"1",22778343,22857650,"1p36"
"344","EPHA8",2046,"1",22890003,22930087,"1p36.12"
"345","C1QA",712,"1",22963117,22966175,"1p36.12"
"346","C1QC",714,"1",22970117,22974603,"1p36.11"
"347","C1QB",713,"1",22979681,22988029,"1p36.12"
"348","EPHB2",2048,"1",23037330,23247993,"1p36.1-p35"
"349","LACTBL1",646262,"1",23279535,23291923,"1p36.12"
"350","C1orf234",729059,"1",23337326,23342343,"1p36.12"
"351","KDM1A",23028,"1",23345940,23410184,"1p36.12"
"352","LUZP1",7798,"1",23410515,23495351,"1p36"
"353","HTR1D",3352,"1",23518387,23521222,"1p36.3-p34.3"
"354","LOC100996511",100996511,"1",23607801,23612011,"-"
"355","HNRNPR",10236,"1",23631180,23670857,"1p36.12"
"356","ZNF436",80818,"1",23685940,23696357,"1p36"
"357","ZNF436-AS1",148898,"1",23695463,23698330,"1p36.12"
"358","TCEA3",6920,"1",23707401,23751272,"1p36.12"
"359","ASAP3",55616,"1",23755055,23810750,"1p36.12"
"360","E2F2",1870,"1",23832919,23857712,"1p36"
"361","LOC101928163",101928163,"1",23848421,23854911,"-"
"362","ID3",3399,"1",23884420,23886285,"1p36.13-p36.12"
"363","MDS2",259283,"1",23953823,23967056,"1p36"
"364","RPL11",6135,"1",24018268,24022915,"1p36.1-p35"
"365","TCEB3",6924,"1",24069855,24088549,"1p36.1"
"366","TCEB3-AS1",100506963,"1",24086871,24104787,"-"
"367","PITHD1",57095,"1",24104875,24114722,"1p36.11"
"368","LYPLA2",11313,"1",24117645,24122029,"1p36.11"
"369","GALE",2582,"1",24122088,24127294,"1p36-p35"
"370","HMGCL",3155,"1",24128366,24151949,"1p36.1-p35"
"371","FUCA1",2517,"1",24171571,24194859,"1p34"
"372","CNR2",1269,"1",24200459,24239817,"1p36.11"
"373","PNRC2",55629,"1",24286300,24289949,"1p36.11"
"374","SRSF10",10772,"1",24290836,24306953,"1p36.11"
"375","MYOM3",127294,"1",24382530,24438665,"1p36.11"
"376","IL22RA1",58985,"1",24446260,24469775,"1p36.11"
"377","IFNLR1",163702,"1",24480646,24513765,"1p36.11"
"378","LOC284632",284632,"1",24526729,24538180,"1p36.11"
"379","GRHL3",57822,"1",24645811,24690970,"1p36.11"
"380","STPG1",90529,"1",24683488,24741587,"1p36.11"
"381","NIPAL3",57185,"1",24742244,24799473,"1p36.12-p35.1"
"382","RCAN3AS",100750325,"1",24822822,24828850,"1p36.11"
"383","RCAN3",11123,"1",24828840,24863510,"1p35.3-p33"
"384","LOC100506985",100506985,"1",24865763,24882515,"-"
"385","NCMAP",400746,"1",24882566,24935818,"1p36.11"
"386","SRRM1",10250,"1",24969593,24999772,"1p36.11"
"387","CLIC4",25932,"1",25071759,25170815,"1p36.11"
"388","RUNX3",864,"1",25226001,25291501,"1p36"
"389","SYF2",25949,"1",25548766,25559013,"1p36.11"
"390","RSRP1",57035,"1",25568739,25573985,"1p36.13-p35.1"
"391","RHD",6007,"1",25598976,25656936,"1p36.11"
"392","TMEM50A",23585,"1",25664788,25688852,"1p36.11"
"393","RHCE",6006,"1",25688739,25747363,"1p36.11"
"394","TMEM57",55219,"1",25757348,25826698,"1p36.11|1p36.11"
"395","LDLRAP1",26119,"1",25870075,25895377,"1p36-p35"
"396","MAN1C1",57134,"1",25943958,26112698,"1p35"
"397","SEPN1",57190,"1",26126666,26144713,"1p36.13"
"398","MTFR1L",56181,"1",26146396,26159433,"1p36.11"
"399","LOC646471",646471,"1",26146444,26150097,"1p36.11"
"400","AUNIP",79000,"1",26158403,26185949,"1p36.11"
"401","PAQR7",164091,"1",26187974,26197744,"1p36.11"
"402","STMN1",3925,"1",26210676,26233368,"1p36.11"
"403","PAFAH2",5051,"1",26286257,26324648,"1p36"
"404","EXTL1",2134,"1",26348270,26362954,"1p36.1"
"405","SLC30A2",7780,"1",26364512,26372629,"1p35.3"
"406","TRIM63",84676,"1",26377795,26394125,"1p34-p33"
"407","PDIK1L",149420,"1",26437655,26452039,"1p36.11"
"408","FAM110D",79927,"1",26485510,26489119,"1p36.11"
"409","ZNF593",51042,"1",26496387,26497364,"1p36.11"
"410","CNKSR1",10256,"1",26503980,26516376,"1p36.11"
"411","CATSPER4",378807,"1",26517118,26529033,"1p35.3"
"412","LOC101928303",101928303,"1",26551810,26556331,"-"
"413","CEP85",64793,"1",26560643,26605529,"1p36.11"
"414","SH3BGRL3",83442,"1",26606212,26608013,"1p36.11"
"415","UBXN11",91544,"1",26608772,26644756,"1p36.11"
"416","CD52",1043,"1",26644410,26647014,"1p36"
"417","AIM1L",55057,"1",26648349,26680621,"1p36.11"
"418","ZNF683",257101,"1",26688124,26699285,"1p36.11"
"419","LIN28A",79727,"1",26737268,26756219,"1p36.11"
"420","DHDDS",79947,"1",26758772,26797795,"1p36.11"
"421","LOC101928324",101928324,"1",26789247,26794028,"1p36.11"
"422","HMGN2",3151,"1",26798901,26803133,"1p36.1"
"423","RPS6KA1",6195,"1",26856248,26901520,"1p"
"424","ARID1A",8289,"1",27022521,27108601,"1p35.3"
"425","PIGV",55650,"1",27114453,27124894,"1p36.11"
"426","ZDHHC18",84243,"1",27153200,27182211,"1p36.11"
"427","SFN",2810,"1",27189632,27190947,"1p36.11"
"428","GPN2",54707,"1",27205872,27216869,"1p36.11"
"429","GPATCH3",63906,"1",27216978,27226962,"1p35.3-p35.1"
"430","NR0B2",8431,"1",27237974,27240567,"1p36.1"
"431","NUDC",10726,"1",27248212,27273362,"1p35-p34"
"432","KDF1",126695,"1",27276046,27286901,"1p36.11"
"433","TRNP1",388610,"1",27320194,27327377,"1p36.11"
"434","FAM46B",115572,"1",27331510,27339333,"1p36.11"
"435","SLC9A1",6548,"1",27425299,27481621,"1p36.1-p35"
"436","WDTC1",23038,"1",27561006,27635124,"1p36.11"
"437","TMEM222",84065,"1",27648635,27662891,"1p36.11"
"438","ACTG1P20",644961,"1",27650364,27653016,"1p36.11"
"439","SYTL1",84958,"1",27668482,27680423,"1p36.11"
"440","MAP3K6",9064,"1",27681669,27693357,"1p36.11"
"441","FCN3",8547,"1",27695600,27701315,"1p36.11"
"442","CD164L2",388611,"1",27705589,27709823,"1p36.11"
"443","GPR3",2827,"1",27719147,27722317,"1p36.1-p35"
"444","WASF2",10163,"1",27730729,27816698,"1p36.11"
"445","AHDC1",27245,"1",27860755,27930005,"1p36.13"
